account_id,ticket_id,ticket_created_date,ticket_resolved_date,priority,product_area,contact_channel,reported_by,customer_tier,company_size,region,users_affected,error_rate_pct,downtime_minutes,payment_impact,security_incident,data_loss,customer_sentiment,tickets_last_30_days,data_source
ACCT-031,TKT-888669,2024-11-25,2024-11-27 01:32:38,low,Data Pipeline,Email,Support Staff,Enterprise,Medium,EMEA,89,1.05,0,0,0,0,neutral,4,Support
ACCT-009,TKT-352023,2023-06-10,2023-06-10 14:11:57,low,Notifications,Live Chat,Support Staff,Basic,Small,APAC,6,8.51,0,0,0,0,neutral,2,Support
ACCT-041,TKT-141814,2025-02-18,2025-02-23 01:21:54,low,Analytics Dashboard,Email,Support Staff,Plus,Small,APAC,3,0.19,7,0,0,0,negative,2,Support
ACCT-079,TKT-218881,2024-04-24,2024-04-25 15:25:55,low,Notifications,Web Portal,Support Staff,Basic,Small,APAC,8,6.68,0,0,0,0,neutral,2,Support
ACCT-076,TKT-125905,2024-06-30,2024-07-01 03:03:38,low,Notifications,Web Portal,Support Staff,Plus,Medium,AMER,6,4.26,0,0,0,0,negative,5,Support
ACCT-043,TKT-941814,2024-11-11,2024-11-15 03:03:22,low,Mobile App,Live Chat,Support Staff,Basic,Small,APAC,3,0.0,0,0,0,0,neutral,1,Support
ACCT-083,TKT-783176,2024-11-02,2024-11-03 22:17:03,low,Notifications,Web Portal,Finance,Enterprise,Medium,EMEA,36,1.74,0,0,0,0,neutral,4,Support
ACCT-060,TKT-200617,2023-12-15,2023-12-16 09:14:10,low,Analytics Dashboard,Email,Support Staff,Enterprise,Medium,EMEA,11,0.92,0,0,0,0,neutral,3,Support
ACCT-041,TKT-659106,2023-11-19,2023-11-24 20:28:00,low,Notifications,Email,Support Staff,Basic,Small,APAC,8,6.52,0,0,0,0,neutral,3,Support
ACCT-075,TKT-760093,2023-06-08,2023-06-10 20:09:30,low,Analytics Dashboard,Web Portal,DevOps,Plus,Large,EMEA,12,1.09,15,0,0,0,neutral,7,Support
ACCT-041,TKT-208975,2024-01-05,2024-01-09 11:55:44,low,Authentication,Web Portal,Support Staff,Plus,Small,APAC,46,3.03,0,0,0,0,neutral,5,Support
ACCT-048,TKT-877388,2023-12-28,2023-12-30 08:51:50,low,Mobile App,Email,Support Staff,Plus,Medium,EMEA,11,1.08,7,0,0,0,positive,3,Support
ACCT-011,TKT-883171,2024-08-19,2024-08-21 22:49:13,low,Notifications,Live Chat,Support Staff,Basic,Small,APAC,5,13.29,0,0,0,0,negative,4,Support
ACCT-018,TKT-139726,2023-11-05,2023-11-05 06:16:10,low,Mobile App,Web Portal,Support Staff,Plus,Small,APAC,5,1.28,27,0,0,0,neutral,0,Support
ACCT-031,TKT-364144,2023-08-29,2023-08-29 10:38:16,low,Analytics Dashboard,Web Portal,Support Staff,Plus,Small,AMER,4,3.59,0,0,0,0,neutral,3,Support
ACCT-026,TKT-371212,2024-12-23,2024-12-23 10:23:59,low,Notifications,Email,DevOps,Basic,Small,APAC,5,6.82,0,0,0,0,neutral,1,Support
ACCT-062,TKT-554059,2024-07-22,2024-07-23 16:07:33,low,Mobile App,Email,Support Staff,Plus,Small,AMER,2,1.93,0,0,0,0,neutral,1,Support
ACCT-021,TKT-660814,2024-04-19,2024-04-19 05:26:36,low,Authentication,Web Portal,Support Staff,Plus,Medium,AMER,80,0.52,0,0,0,0,neutral,0,Support
ACCT-043,TKT-892682,2023-06-07,2023-06-09 22:06:59,low,Mobile App,Web Portal,Product Manager,Basic,Small,APAC,0,1.86,10,0,0,0,neutral,3,Support
ACCT-045,TKT-475075,2025-01-20,2025-01-20 08:18:03,low,Mobile App,Web Portal,Finance,Plus,Medium,EMEA,7,0.95,0,0,0,0,neutral,5,Support
ACCT-075,TKT-415989,2024-10-27,2024-10-27 13:27:19,low,Notifications,Web Portal,Support Staff,Basic,Small,AMER,2,4.1,0,0,0,0,neutral,8,Support
ACCT-026,TKT-558936,2025-02-11,2025-02-11 11:46:03,low,Notifications,Phone,Support Staff,Basic,Small,APAC,7,8.21,11,0,0,0,neutral,3,Support
ACCT-036,TKT-597012,2024-06-25,2024-06-26 16:52:04,low,Analytics Dashboard,Email,Product Manager,Plus,Large,AMER,95,1.99,0,0,0,0,negative,8,Support
ACCT-058,TKT-509985,2023-11-08,2023-11-10 08:20:59,low,Mobile App,Email,Support Staff,Plus,Large,EMEA,133,0.0,0,0,0,0,neutral,4,Support
ACCT-083,TKT-412534,2024-12-10,2024-12-11 06:44:51,low,Mobile App,Email,Support Staff,Basic,Small,APAC,2,2.09,0,0,0,0,neutral,2,Support
ACCT-053,TKT-682032,2024-06-17,,low,Billing,Email,Product Manager,Plus,Small,AMER,6,10.11,0,0,0,0,neutral,3,Support
ACCT-060,TKT-725637,2023-10-23,,low,Mobile App,Live Chat,Product Manager,Enterprise,Medium,EMEA,6,2.99,0,0,0,0,neutral,3,Support
ACCT-024,TKT-419491,2024-07-08,2024-07-10 08:47:29,low,Notifications,Live Chat,Support Staff,Basic,Small,APAC,8,3.93,0,0,0,0,neutral,1,Support
ACCT-076,TKT-460554,2024-01-02,2024-01-05 13:59:26,low,Authentication,Web Portal,Product Manager,Basic,Small,APAC,47,1.83,0,0,0,0,neutral,2,Support
ACCT-077,TKT-637450,2024-01-03,2024-01-04 18:43:29,low,Analytics Dashboard,Live Chat,Product Manager,Basic,Small,AMER,1,0.4,0,0,0,0,neutral,5,Support
ACCT-041,TKT-975297,2023-10-24,2023-10-24 18:16:09,low,Billing,Web Portal,Finance,Basic,Small,APAC,1,1.65,0,0,0,0,positive,6,Support
ACCT-105,TKT-938504,2024-02-14,2024-02-14 21:16:37,low,Analytics Dashboard,Email,Support Staff,Plus,Medium,APAC,31,9.45,0,0,0,0,neutral,5,Support
ACCT-076,TKT-675512,2025-01-01,2025-01-05 09:10:05,low,Billing,Live Chat,Product Manager,Plus,Small,AMER,75,1.14,0,0,0,0,neutral,3,Support
ACCT-076,TKT-804313,2024-09-15,2024-09-17 22:33:40,low,Billing,Live Chat,Support Staff,Plus,Large,AMER,9,0.0,20,0,0,0,neutral,11,Support
ACCT-060,TKT-708798,2023-08-08,2023-08-09 02:30:07,low,Billing,Email,Support Staff,Basic,Small,AMER,9,2.81,0,0,0,0,neutral,3,Support
ACCT-041,TKT-803904,2024-10-11,2024-10-16 12:00:57,low,Notifications,Live Chat,Support Staff,Basic,Medium,APAC,27,1.54,0,0,0,0,neutral,1,Support
ACCT-041,TKT-302897,2024-01-27,2024-01-27 12:55:46,low,Notifications,Live Chat,Support Staff,Basic,Small,APAC,0,9.63,0,0,0,0,negative,2,Support
ACCT-021,TKT-791454,2024-04-21,2024-04-23 02:47:30,low,Authentication,Web Portal,Finance,Basic,Small,APAC,7,6.7,0,0,0,0,neutral,1,Support
ACCT-050,TKT-694397,2024-04-09,2024-04-12 05:29:49,low,Data Pipeline,Live Chat,Product Manager,Basic,Medium,APAC,15,2.9,0,0,0,0,neutral,3,Support
ACCT-041,TKT-276831,2024-06-08,2024-06-12 00:19:05,low,Notifications,Web Portal,Executive,Basic,Small,APAC,1,2.86,0,0,0,0,neutral,3,Support
ACCT-076,TKT-846794,2023-06-05,2023-06-06 08:32:04,low,Mobile App,Web Portal,Support Staff,Plus,Medium,AMER,9,1.52,0,0,0,0,neutral,1,Support
ACCT-025,TKT-812591,2024-08-20,2024-08-21 04:58:40,low,Authentication,Live Chat,Support Staff,Basic,Small,AMER,3,4.3,13,0,0,0,neutral,2,Support
ACCT-043,TKT-476167,2024-05-05,2024-05-09 14:52:41,low,Authentication,Web Portal,Support Staff,Plus,Small,APAC,27,1.4,0,0,0,0,negative,5,Support
ACCT-026,TKT-776909,2024-04-08,2024-04-10 02:55:05,low,Notifications,Live Chat,Support Staff,Basic,Small,AMER,1,3.13,9,0,0,0,neutral,2,Support
ACCT-043,TKT-966589,2025-02-11,2025-02-11 11:22:49,low,Analytics Dashboard,Email,Finance,Enterprise,Medium,EMEA,13,1.65,0,0,0,0,positive,6,Support
ACCT-078,TKT-869177,2023-10-22,2023-10-26 18:06:22,low,Mobile App,Web Portal,Support Staff,Plus,Medium,EMEA,28,2.13,0,0,0,0,positive,7,Support
ACCT-077,TKT-990856,2023-08-18,2023-08-21 10:39:30,low,Billing,Email,DevOps,Basic,Medium,APAC,32,1.93,0,0,0,0,neutral,4,Support
ACCT-047,TKT-707021,2024-11-01,2024-11-03 20:47:18,low,Analytics Dashboard,Live Chat,Support Staff,Basic,Small,APAC,0,3.5,41,0,0,0,neutral,1,Support
ACCT-047,TKT-138436,2024-07-19,2024-07-22 17:28:11,low,Notifications,Web Portal,Support Staff,Plus,Small,AMER,4,1.32,0,0,0,0,negative,0,Support
ACCT-035,TKT-665892,2024-12-16,2024-12-17 03:26:34,low,Mobile App,Web Portal,Product Manager,Plus,Medium,APAC,32,0.85,0,0,0,0,neutral,2,Support
ACCT-041,TKT-511564,2024-09-26,2024-09-28 23:50:08,low,Authentication,Web Portal,Support Staff,Plus,Small,APAC,21,1.2,11,0,0,0,negative,1,Support
ACCT-107,TKT-998801,2024-01-15,2024-01-19 18:08:27,low,Mobile App,Web Portal,Support Staff,Plus,Medium,EMEA,19,1.42,0,0,0,0,neutral,4,Support
ACCT-062,TKT-194952,2024-03-24,2024-03-24 15:52:21,low,Billing,Email,Support Staff,Basic,Medium,APAC,3,1.6,7,0,0,0,neutral,6,Support
ACCT-011,TKT-350484,2024-07-11,,low,Analytics Dashboard,Phone,DevOps,Plus,Medium,EMEA,53,0.25,0,0,0,0,positive,2,Support
ACCT-041,TKT-247189,2025-02-18,2025-02-21 04:08:05,low,Analytics Dashboard,Web Portal,Support Staff,Plus,Large,EMEA,75,0.57,0,0,0,0,negative,8,Support
ACCT-106,TKT-693297,2024-08-30,2024-08-30 18:06:53,low,Analytics Dashboard,Live Chat,Support Staff,Plus,Small,AMER,5,2.4,7,0,0,0,positive,2,Support
ACCT-085,TKT-476224,2023-10-28,2023-10-31 11:59:55,low,Mobile App,Web Portal,Support Staff,Basic,Small,APAC,0,11.31,14,0,0,0,neutral,5,Support
ACCT-020,TKT-165914,2023-07-12,2023-07-12 23:31:28,low,Mobile App,Web Portal,DevOps,Basic,Small,APAC,1,0.0,33,0,0,0,neutral,3,Support
ACCT-026,TKT-316818,2024-02-26,2024-02-27 14:11:50,low,Notifications,Email,Support Staff,Basic,Small,APAC,7,8.53,0,0,0,0,negative,2,Support
ACCT-007,TKT-592489,2024-11-12,2024-11-16 22:20:44,low,Analytics Dashboard,Web Portal,Support Staff,Basic,Small,APAC,2,2.12,0,0,0,0,negative,1,Support
ACCT-036,TKT-780027,2024-09-08,2024-09-12 15:44:32,low,Notifications,Phone,Support Staff,Plus,Medium,EMEA,20,4.41,0,0,0,0,neutral,3,Support
ACCT-041,TKT-764343,2024-04-27,2024-04-27 13:12:14,low,Authentication,Email,Support Staff,Basic,Small,AMER,17,1.54,0,0,0,0,neutral,4,Support
ACCT-013,TKT-670792,2024-03-07,2024-03-11 05:34:31,low,Analytics Dashboard,Live Chat,Finance,Plus,Large,EMEA,102,0.71,2,0,0,0,neutral,7,Support
ACCT-010,TKT-483041,2025-01-04,2025-01-04 19:25:27,low,Analytics Dashboard,Web Portal,Support Staff,Enterprise,Medium,EMEA,19,0.4,6,0,0,0,negative,2,Support
ACCT-076,TKT-641760,2025-01-22,2025-01-24 23:45:22,low,Notifications,Email,Finance,Enterprise,Medium,EMEA,17,14.73,0,0,0,0,neutral,5,Support
ACCT-036,TKT-641455,2024-02-13,2024-02-14 14:54:32,low,Authentication,Live Chat,DevOps,Plus,Small,APAC,2,5.57,0,0,0,0,positive,3,Support
ACCT-021,TKT-610511,2024-07-20,2024-07-21 12:30:23,low,Billing,Web Portal,Product Manager,Basic,Small,EMEA,17,1.11,0,0,0,0,neutral,2,Support
ACCT-041,TKT-245718,2024-10-06,,low,Analytics Dashboard,Email,Support Staff,Basic,Small,AMER,0,1.74,5,0,0,0,neutral,1,Support
ACCT-078,TKT-774734,2024-08-24,2024-08-24 18:41:05,low,Analytics Dashboard,Live Chat,Support Staff,Enterprise,Medium,EMEA,6,0.28,4,0,0,0,positive,7,Support
ACCT-035,TKT-479818,2024-03-14,2024-03-14 22:51:03,low,Analytics Dashboard,Email,Support Staff,Plus,Small,AMER,32,1.32,0,0,0,0,neutral,0,Support
ACCT-041,TKT-341535,2025-02-06,2025-02-09 09:05:17,low,Authentication,Live Chat,Support Staff,Basic,Small,APAC,0,3.19,27,0,0,0,neutral,2,Support
ACCT-041,TKT-604906,2024-07-29,2024-08-02 00:58:06,low,Mobile App,Phone,Support Staff,Basic,Small,AMER,5,17.61,8,0,0,0,positive,2,Support
ACCT-075,TKT-778700,2024-10-03,2024-10-05 02:00:52,low,Analytics Dashboard,Email,Support Staff,Basic,Small,APAC,3,1.22,0,0,0,0,neutral,2,Support
ACCT-041,TKT-701344,2024-07-25,2024-07-25 06:07:20,low,Authentication,Live Chat,DevOps,Plus,Large,AMER,31,3.25,0,0,0,0,positive,3,Support
ACCT-048,TKT-141094,2025-01-27,2025-01-27 18:17:05,low,Analytics Dashboard,Email,DevOps,Basic,Small,APAC,1,1.81,0,0,0,0,neutral,1,Support
ACCT-077,TKT-288783,2025-01-07,2025-01-07 17:01:02,low,Mobile App,Web Portal,Support Staff,Plus,Small,AMER,13,4.5,0,0,0,0,negative,1,Support
ACCT-046,TKT-690982,2024-11-11,2024-11-16 14:35:43,low,Analytics Dashboard,Email,Support Staff,Plus,Medium,EMEA,12,2.69,0,0,0,0,neutral,6,Support
ACCT-077,TKT-961198,2023-06-20,2023-06-24 15:01:27,low,Mobile App,Live Chat,Support Staff,Plus,Small,AMER,15,1.38,14,0,0,0,neutral,4,Support
ACCT-010,TKT-735988,2024-03-17,2024-03-22 10:27:30,low,Notifications,Web Portal,DevOps,Basic,Small,APAC,7,3.12,11,0,0,0,neutral,3,Support
ACCT-105,TKT-970699,2024-09-25,2024-09-29 12:27:15,low,Authentication,Web Portal,Support Staff,Plus,Medium,AMER,194,2.56,0,0,0,0,positive,2,Support
ACCT-018,TKT-960307,2024-07-25,2024-07-27 16:43:32,low,Mobile App,Live Chat,DevOps,Plus,Large,EMEA,659,0.0,0,0,0,0,neutral,9,Support
ACCT-045,TKT-275868,2023-12-04,2023-12-06 19:39:41,low,Analytics Dashboard,Web Portal,Product Manager,Basic,Small,EMEA,4,1.37,3,0,0,0,neutral,1,Support
ACCT-048,TKT-172187,2024-05-16,2024-05-21 02:27:01,low,Mobile App,Web Portal,Product Manager,Plus,Large,AMER,31,15.88,0,0,0,0,neutral,5,Support
ACCT-079,TKT-117367,2024-01-22,2024-01-23 15:06:14,low,Analytics Dashboard,Web Portal,Finance,Basic,Small,APAC,4,2.35,7,0,0,0,neutral,6,Support
ACCT-067,TKT-817611,2023-12-25,2023-12-27 07:04:12,low,Notifications,Web Portal,Support Staff,Plus,Small,AMER,4,3.86,0,0,0,0,negative,3,Support
ACCT-111,TKT-286040,2024-08-03,2024-08-07 03:54:54,low,Notifications,Live Chat,Support Staff,Plus,Large,AMER,2,0.81,0,0,0,0,negative,10,Support
ACCT-048,TKT-921945,2024-09-30,2024-10-04 20:43:33,low,Mobile App,Web Portal,DevOps,Basic,Medium,APAC,21,0.63,0,0,0,0,neutral,1,Support
ACCT-050,TKT-605666,2024-11-26,2024-11-28 04:47:59,low,Analytics Dashboard,Live Chat,Executive,Enterprise,Medium,EMEA,15,1.02,0,0,0,0,neutral,5,Support
ACCT-073,TKT-101258,2023-10-12,2023-10-16 20:49:26,low,Analytics Dashboard,Web Portal,DevOps,Basic,Small,APAC,7,2.22,0,0,0,0,negative,2,Support
ACCT-060,TKT-145548,2024-08-15,2024-08-17 06:59:28,low,Notifications,Web Portal,Support Staff,Basic,Medium,APAC,149,3.44,0,0,0,0,neutral,2,Support
ACCT-035,TKT-605543,2024-11-24,2024-11-25 20:28:31,low,Authentication,Email,Support Staff,Basic,Small,APAC,4,1.68,50,0,0,0,neutral,2,Support
ACCT-020,TKT-898531,2024-06-25,2024-06-26 12:15:53,low,Notifications,Email,Support Staff,Basic,Small,APAC,4,1.98,17,0,0,0,neutral,2,Support
ACCT-109,TKT-600318,2025-01-10,2025-01-10 12:43:45,low,Notifications,Web Portal,Support Staff,Basic,Small,APAC,9,7.55,0,0,0,0,neutral,1,Support
ACCT-083,TKT-727354,2024-01-25,2024-01-29 22:59:04,low,Mobile App,Email,DevOps,Plus,Medium,APAC,51,8.44,0,0,0,0,negative,4,Support
ACCT-041,TKT-843596,2024-12-08,2024-12-09 18:17:53,low,Billing,Web Portal,Support Staff,Basic,Small,APAC,5,2.9,19,0,0,0,neutral,3,Support
ACCT-035,TKT-107543,2023-06-08,2023-06-10 13:48:38,low,Authentication,Live Chat,Finance,Plus,Medium,EMEA,72,4.04,0,0,0,0,neutral,3,Support
ACCT-058,TKT-431246,2024-06-19,2024-06-21 23:55:27,low,Authentication,Web Portal,Support Staff,Basic,Small,EMEA,7,2.33,5,0,0,0,neutral,1,Support
ACCT-043,TKT-783226,2024-07-23,2024-07-24 13:27:43,low,Notifications,Web Portal,Support Staff,Plus,Medium,EMEA,61,2.97,0,0,0,0,negative,4,Support
ACCT-085,TKT-544136,2025-01-20,2025-01-21 02:46:49,low,Mobile App,Phone,Support Staff,Plus,Medium,EMEA,78,7.63,0,0,0,0,neutral,3,Support
ACCT-035,TKT-813666,2024-12-30,2024-12-31 13:48:28,low,Billing,Web Portal,Support Staff,Basic,Small,APAC,6,1.96,0,0,0,0,neutral,2,Support
ACCT-106,TKT-921861,2024-07-11,2024-07-14 15:05:07,low,Analytics Dashboard,Web Portal,Support Staff,Enterprise,Medium,EMEA,17,0.73,14,0,0,0,neutral,4,Support
