account_id,company_name,industry,company_size_tier,annual_revenue_usd,employee_count,headquarters,opportunity_id,sales_rep,sales_manager,sales_region,product_name,product_category,list_price,deal_stage,deal_created_date,deal_closed_date,deal_value,loss_reason,data_source
ACCT-028,SilverLine Tech,Technology,Large,1223.72,2497,Norway,OPP-21395,Anika Larsson,Sarah Mitchell,Central,NovaPulse Standard,NovaPulse,1096,Won,2023-12-05,2024-04-08,1020.0,,CRM
ACCT-018,LakeView Software,Software,Enterprise,4618.0,10083,United States,OPP-87397,Derek Johnson,Sarah Mitchell,Central,NovaEdge Advanced,NovaEdge,3393,Won,2024-03-24,2024-07-29,3250.0,,CRM
ACCT-023,OakBridge Staffing,Professional Services,Large,2059.9,3644,United States,OPP-65302,Grace Adeyemi,Amanda Foster,West,NovaEdge Advanced,NovaEdge,3393,Won,2023-10-19,2023-12-17,3602.0,,CRM
ACCT-063,TideWater Retail,Retail,Enterprise,2214.94,5374,United States,OPP-14165,Daniel Santos,Brian Nakamura,West,NovaPulse Starter,NovaPulse,550,Won,2023-08-15,2024-01-07,552.0,,CRM
ACCT-062,StoneHarbor Medical,Healthcare,Enterprise,2818.38,6290,United States,OPP-13905,Amira Diallo,Michael Chen,East,NovaPulse Professional,NovaPulse,4821,Won,2024-10-22,2024-11-01,4345.0,,CRM
ACCT-057,OmniReach Telecom,Telecommunications,Large,1188.42,3015,United States,OPP-22280,Noah Kim,Amanda Foster,West,NovaPulse Standard,NovaPulse,1096,Won,2024-07-02,2024-09-18,1193.0,,CRM
ACCT-077,MoonRise Entertainment,Media & Entertainment,Enterprise,3838.39,8274,United States,OPP-38657,Suki Tanaka,Michael Chen,East,NovaPulse Starter,NovaPulse,550,Won,2024-07-13,2025-01-05,517.0,,CRM
ACCT-001,Apex Dynamics,Technology,Large,1100.04,2822,United States,OPP-40495,Amira Diallo,Michael Chen,East,NovaPulse Standard,NovaPulse,1096,Won,2024-10-21,2024-10-23,1096.0,,CRM
ACCT-072,HavenCrest Communications,Telecommunications,Enterprise,5266.09,8595,United States,OPP-76237,Anika Larsson,Sarah Mitchell,Central,NovaPulse Starter,NovaPulse,550,Won,2024-03-10,2024-03-29,472.0,,CRM
ACCT-044,BluePeak Marketing,Marketing & Advertising,Large,375.43,1190,United States,OPP-88907,Raj Patel,Sarah Mitchell,Central,NovaPulse Enterprise,NovaPulse,5482,Won,2023-12-19,2024-03-13,5121.0,,CRM
ACCT-072,HavenCrest Communications,Telecommunications,Enterprise,5266.09,8595,United States,OPP-13478,Owen McCarthy,David Kim,Central,NovaPulse Professional,NovaPulse,4821,Won,2024-04-25,2024-08-27,5322.0,,CRM
ACCT-035,TrueNorth Electronics,Technology,Enterprise,8170.38,16499,Korea,OPP-83563,Priya Nair,David Kim,Central,NovaEdge Lite,NovaEdge,55,Won,2024-10-19,2025-01-14,60.0,,CRM
ACCT-072,HavenCrest Communications,Telecommunications,Enterprise,5266.09,8595,United States,OPP-36062,Maya Chen,Sarah Mitchell,Central,NovaEdge Lite,NovaEdge,55,Won,2024-08-15,2024-11-18,58.0,,CRM
ACCT-041,YieldMax Software,Software,Enterprise,11698.03,34288,United States,OPP-95181,Andre Moreau,Michael Chen,East,NovaPulse Starter,NovaPulse,550,Won,2023-12-28,2024-04-24,564.0,,CRM
ACCT-037,Vanguard Marketing Group,Marketing & Advertising,Enterprise,2403.58,8801,United States,OPP-81426,Sofia Martinez,Sarah Mitchell,Central,NovaPulse Standard,NovaPulse,1096,Won,2024-03-11,2024-07-16,1083.0,,CRM
ACCT-014,HarborView Digital,Software,Small,98.79,96,United States,OPP-64987,Anya Petrov,Brian Nakamura,West,NovaPulse Starter,NovaPulse,550,Won,2024-10-08,2024-10-09,473.0,,CRM
ACCT-056,NetPulse Technologies,Technology,Enterprise,2938.67,8775,Panama,OPP-38893,Marcus Webb,David Kim,Central,NovaPulse Professional,NovaPulse,4821,Won,2024-06-30,2024-07-01,5741.0,,CRM
ACCT-052,JadeVault Finance,Financial Services,Medium,355.23,853,United States,OPP-68878,James Okafor,Rachel Torres,East,NovaPulse Enterprise,NovaPulse,5482,Won,2024-02-08,2024-02-10,5805.0,,CRM
ACCT-048,FrontLine Marketing,Marketing & Advertising,Enterprise,3027.46,9516,Jordan,OPP-87236,Suki Tanaka,Michael Chen,East,NovaPulse Professional,NovaPulse,4821,Won,2024-04-19,2024-09-13,4370.0,,CRM
ACCT-025,PineRidge Global,Retail,Enterprise,5158.71,17479,Japan,OPP-46463,Finn O'Brien,Michael Chen,East,NovaPulse Starter,NovaPulse,550,Won,2023-11-29,2024-03-25,609.0,,CRM
ACCT-024,PeakVista Capital,Financial Services,Enterprise,2819.5,7227,United States,OPP-10851,Owen McCarthy,David Kim,Central,NovaPulse Professional,NovaPulse,4821,Won,2023-12-10,2024-04-03,4978.0,,CRM
ACCT-029,SkyCrest Telecom,Telecommunications,Small,86.68,187,United States,OPP-30926,Owen McCarthy,David Kim,Central,NovaEdge Lite,NovaEdge,55,Won,2024-03-14,2024-05-10,59.0,,CRM
ACCT-040,XenonGrid Retail,Retail,Large,1388.67,3583,United States,OPP-65392,Mei Lin Zhang,Brian Nakamura,West,NovaPulse Enterprise,NovaPulse,5482,Won,2023-11-15,2024-05-03,4066.0,,CRM
ACCT-016,JetStream Technologies,Technology,Large,587.72,1501,United States,OPP-54597,Daniel Santos,Brian Nakamura,West,NovaPulse Professional,NovaPulse,4821,Won,2024-06-17,2024-06-18,5283.0,,CRM
ACCT-076,LionGate Holdings,Financial Services,Enterprise,7537.24,20293,United States,OPP-46421,Fatima Al-Rashid,Amanda Foster,West,NovaEdge Advanced,NovaEdge,3393,Won,2023-09-22,2024-01-10,3145.0,,CRM
ACCT-076,LionGate Holdings,Financial Services,Enterprise,7537.24,20293,United States,OPP-30379,Yuki Nakamura,Amanda Foster,West,NovaEdge Advanced,NovaEdge,3393,Won,2023-09-23,2023-12-16,3820.0,,CRM
ACCT-032,TerraBloom Services,Business Services,Large,692.19,1922,United States,OPP-38221,Mei Lin Zhang,Brian Nakamura,West,NovaPulse Starter,NovaPulse,550,Won,2024-08-01,2025-01-15,476.0,,CRM
ACCT-047,EverGlow Studios,Media & Entertainment,Large,665.06,1095,United States,OPP-54118,Ethan Clarke,Rachel Torres,East,NovaPulse Starter,NovaPulse,550,Won,2023-11-09,2024-03-20,533.0,,CRM
ACCT-014,HarborView Digital,Software,Small,98.79,96,United States,OPP-23396,Mei Lin Zhang,Brian Nakamura,West,NovaEdge Advanced,NovaEdge,3393,Won,2023-11-29,2024-04-14,3813.0,,CRM
ACCT-073,IndigoVault Finance,Financial Services,Enterprise,2022.14,5113,United States,OPP-22156,Victor Tang,Michael Chen,East,NovaPulse Enterprise,NovaPulse,5482,Won,2024-07-04,2024-07-20,6284.0,,CRM
ACCT-050,HighTower Consulting,Business Services,Large,1012.72,3492,Germany,OPP-59797,Mei Lin Zhang,Brian Nakamura,West,NovaPulse Professional,NovaPulse,4821,Won,2024-04-04,2024-07-11,5194.0,,CRM
ACCT-059,QuantumShift Tech,Technology,Large,1008.06,1238,United States,OPP-22676,Maya Chen,Sarah Mitchell,Central,NovaPulse Enterprise,NovaPulse,5482,Won,2023-09-06,2024-01-07,5459.0,,CRM
ACCT-042,ZenithMart,Retail,Large,702.72,1831,United States,OPP-57052,James Okafor,Rachel Torres,East,NovaPulse Professional,NovaPulse,4821,Won,2023-08-13,2023-12-16,4465.0,,CRM
ACCT-046,DawnBreak Pharma,Healthcare,Large,1618.89,3889,United States,OPP-55082,Chloe Bergman,Brian Nakamura,West,NovaPulse Professional,NovaPulse,4821,Won,2024-05-20,2024-07-11,4689.0,,CRM
ACCT-067,CrossPoint Retail,Retail,Large,1376.8,1165,Belgium,OPP-89131,Derek Johnson,Sarah Mitchell,Central,NovaPulse Starter,NovaPulse,550,Won,2024-04-15,2024-09-03,584.0,,CRM
ACCT-081,QuailRidge Tech,Technology,Small,40.79,142,China,OPP-44671,Finn O'Brien,Michael Chen,East,NovaPulse Starter,NovaPulse,550,Won,2023-08-20,2023-12-17,605.0,,CRM
ACCT-036,UltraLink Communications,Telecommunications,Enterprise,6395.05,20275,United States,OPP-15695,Victor Tang,Michael Chen,East,NovaPulse Enterprise,NovaPulse,5482,Won,2024-06-03,2024-06-14,4881.0,,CRM
ACCT-003,BrightPath Medical,Healthcare,Large,647.18,1185,Kenya,OPP-70217,Leila Hassan,David Kim,Central,NovaPulse Enterprise,NovaPulse,5482,Won,2024-05-31,2024-09-16,5944.0,,CRM
ACCT-062,StoneHarbor Medical,Healthcare,Enterprise,2818.38,6290,United States,OPP-80284,Hannah Lee,Rachel Torres,East,NovaPulse Enterprise,NovaPulse,5482,Won,2023-08-22,2023-12-30,5918.0,,CRM
ACCT-008,DataStream Analytics,Software,Large,987.39,2253,United States,OPP-26361,Amira Diallo,Michael Chen,East,NovaPulse Standard,NovaPulse,1096,Won,2024-08-23,2024-12-01,1251.0,,CRM
ACCT-037,Vanguard Marketing Group,Marketing & Advertising,Enterprise,2403.58,8801,United States,OPP-59615,Owen McCarthy,David Kim,Central,NovaPulse Standard,NovaPulse,1096,Won,2023-11-07,2024-03-17,1189.0,,CRM
ACCT-037,Vanguard Marketing Group,Marketing & Advertising,Enterprise,2403.58,8801,United States,OPP-20328,Marcus Webb,David Kim,Central,NovaEdge Lite,NovaEdge,55,Won,2024-09-30,2024-10-02,58.0,,CRM
ACCT-063,TideWater Retail,Retail,Enterprise,2214.94,5374,United States,OPP-82357,Chloe Bergman,Brian Nakamura,West,NovaPulse Standard,NovaPulse,1096,Won,2024-06-11,2024-11-24,1075.0,,CRM
ACCT-058,PrimeCell Medical,Healthcare,Enterprise,3922.42,6837,United States,OPP-48427,Owen McCarthy,David Kim,Central,NovaPulse Enterprise,NovaPulse,5482,Won,2023-08-02,2023-12-17,5522.0,,CRM
ACCT-024,PeakVista Capital,Financial Services,Enterprise,2819.5,7227,United States,OPP-92397,Marcus Webb,David Kim,Central,NovaPulse Starter,NovaPulse,550,Won,2024-03-21,2024-04-10,583.0,,CRM
ACCT-006,CrestLine Retail,Retail,Large,497.11,1588,United States,OPP-91070,Anya Petrov,Brian Nakamura,West,NovaPulse Enterprise,NovaPulse,5482,Won,2024-03-07,2024-08-31,4755.0,,CRM
ACCT-058,PrimeCell Medical,Healthcare,Enterprise,3922.42,6837,United States,OPP-57400,Owen McCarthy,David Kim,Central,NovaPulse Professional,NovaPulse,4821,Won,2023-07-31,2023-12-13,4891.0,,CRM
ACCT-029,SkyCrest Telecom,Telecommunications,Small,86.68,187,United States,OPP-85674,Raj Patel,Sarah Mitchell,Central,NovaPulse Enterprise,NovaPulse,5482,Won,2024-08-29,2024-12-24,5520.0,,CRM
ACCT-005,CoralBay Pharma,Healthcare,Large,326.82,1016,United States,OPP-35203,Suki Tanaka,Michael Chen,East,NovaPulse Enterprise,NovaPulse,5482,Won,2024-01-20,2024-01-29,5095.0,,CRM
ACCT-024,PeakVista Capital,Financial Services,Enterprise,2819.5,7227,United States,OPP-19116,Derek Johnson,Sarah Mitchell,Central,NovaEdge Lite,NovaEdge,55,Won,2024-01-18,2024-04-07,50.0,,CRM
ACCT-082,RavenCroft Studios,Media & Entertainment,Medium,324.19,978,United States,OPP-16006,Anya Petrov,Brian Nakamura,West,NovaPulse Starter,NovaPulse,550,Won,2023-12-12,2023-12-16,597.0,,CRM
ACCT-023,OakBridge Staffing,Professional Services,Large,2059.9,3644,United States,OPP-96673,Grace Adeyemi,Amanda Foster,West,NovaPulse Starter,NovaPulse,550,Won,2023-12-17,2024-01-13,481.0,,CRM
ACCT-012,FreshStart Medical,Healthcare,Small,4.54,9,United States,OPP-39871,Sofia Martinez,Sarah Mitchell,Central,NovaEdge Lite,NovaEdge,55,Won,2023-12-03,2024-03-11,54.0,,CRM
ACCT-043,AlphaCore Technologies,Technology,Enterprise,7708.38,13756,United States,OPP-47930,Andre Moreau,Michael Chen,East,NovaPulse Starter,NovaPulse,550,Won,2024-02-19,2024-02-22,584.0,,CRM
ACCT-051,IvyBridge Staffing,Professional Services,Large,882.12,2769,United States,OPP-20458,Hannah Lee,Rachel Torres,East,NovaPulse Enterprise,NovaPulse,5482,Won,2024-11-06,2024-11-18,6818.0,,CRM
ACCT-001,Apex Dynamics,Technology,Large,1100.04,2822,United States,OPP-40512,Finn O'Brien,Michael Chen,East,NovaPulse Enterprise,NovaPulse,5482,Won,2023-11-04,2024-04-22,5724.0,,CRM
ACCT-010,EliteWave Media,Media & Entertainment,Enterprise,4269.9,6472,United States,OPP-23238,Mei Lin Zhang,Brian Nakamura,West,NovaPulse Professional,NovaPulse,4821,Won,2024-10-25,2024-11-08,4991.0,,CRM
ACCT-047,EverGlow Studios,Media & Entertainment,Large,665.06,1095,United States,OPP-59823,Nadia Volkov,Rachel Torres,East,NovaPulse Starter,NovaPulse,550,Won,2024-03-21,2024-07-05,516.0,,CRM
ACCT-078,NovaCrest Workforce,Professional Services,Enterprise,2871.35,9561,United States,OPP-46434,Oliver Dubois,Brian Nakamura,West,NovaPulse Starter,NovaPulse,550,Won,2024-05-07,2024-09-13,628.0,,CRM
ACCT-060,RedCedar Software,Software,Enterprise,6354.87,16780,United States,OPP-69429,Oliver Dubois,Brian Nakamura,West,NovaPulse Professional,NovaPulse,4821,Won,2023-12-12,2023-12-27,5266.0,,CRM
ACCT-041,YieldMax Software,Software,Enterprise,11698.03,34288,United States,OPP-93320,James Okafor,Rachel Torres,East,NovaEdge Advanced,NovaEdge,3393,Won,2024-07-25,2024-08-19,3913.0,,CRM
ACCT-011,Falcon Software,Software,Large,2714.9,2641,United States,OPP-57819,Marcus Webb,David Kim,Central,NovaPulse Starter,NovaPulse,550,Won,2023-08-30,2024-01-13,517.0,,CRM
ACCT-055,MossCreek Retail,Retail,Large,1419.98,4018,United States,OPP-31319,Nadia Volkov,Rachel Torres,East,NovaPulse Professional,NovaPulse,4821,Won,2024-02-15,2024-07-07,4505.0,,CRM
ACCT-035,TrueNorth Electronics,Technology,Enterprise,8170.38,16499,Korea,OPP-58520,Liam Porter,Amanda Foster,West,NovaEdge Advanced,NovaEdge,3393,Won,2024-03-17,2024-04-05,3153.0,,CRM
ACCT-044,BluePeak Marketing,Marketing & Advertising,Large,375.43,1190,United States,OPP-56566,Derek Johnson,Sarah Mitchell,Central,NovaEdge Lite,NovaEdge,55,Won,2024-02-05,2024-05-09,48.0,,CRM
ACCT-052,JadeVault Finance,Financial Services,Medium,355.23,853,United States,OPP-37460,Hannah Lee,Rachel Torres,East,NovaEdge Advanced,NovaEdge,3393,Won,2024-10-21,2024-11-08,3422.0,,CRM
ACCT-020,MapleCrest Retail,Retail,Enterprise,4968.91,7523,United States,OPP-97841,Yuki Nakamura,Amanda Foster,West,NovaPulse Professional,NovaPulse,4821,Won,2024-04-24,2024-05-12,4733.0,,CRM
ACCT-041,YieldMax Software,Software,Enterprise,11698.03,34288,United States,OPP-44993,Andre Moreau,Michael Chen,East,NovaPulse Starter,NovaPulse,550,Won,2023-12-09,2024-03-20,522.0,,CRM
ACCT-061,SkyBridge Marketing,Marketing & Advertising,Small,45.39,100,United States,OPP-99593,Marcus Webb,David Kim,Central,NovaPulse Starter,NovaPulse,550,Won,2024-10-11,2024-10-23,528.0,,CRM
ACCT-022,NorthStar Finance,Financial Services,Large,1102.43,1759,United States,OPP-94939,Owen McCarthy,David Kim,Central,NovaPulse Starter,NovaPulse,550,Won,2024-08-30,2025-01-10,626.0,,CRM
ACCT-061,SkyBridge Marketing,Marketing & Advertising,Small,45.39,100,United States,OPP-19358,Leila Hassan,David Kim,Central,NovaPulse Standard,NovaPulse,1096,Won,2024-11-18,2024-12-04,1133.0,,CRM
ACCT-035,TrueNorth Electronics,Technology,Enterprise,8170.38,16499,Korea,OPP-89840,Noah Kim,Amanda Foster,West,NovaPulse Standard,NovaPulse,1096,Won,2023-09-15,2024-01-08,880.0,,CRM
ACCT-063,TideWater Retail,Retail,Enterprise,2214.94,5374,United States,OPP-93227,Liam Porter,Amanda Foster,West,NovaPulse Standard,NovaPulse,1096,Won,2024-01-24,2024-03-29,935.0,,CRM
ACCT-078,NovaCrest Workforce,Professional Services,Enterprise,2871.35,9561,United States,OPP-32431,Chloe Bergman,Brian Nakamura,West,NovaPulse Standard,NovaPulse,1096,Won,2024-01-08,2024-03-15,888.0,,CRM
ACCT-004,ClearView Health,Healthcare,Large,587.34,1356,Philipines,OPP-80010,Tyler Brooks,David Kim,Central,NovaPulse Starter,NovaPulse,550,Won,2024-09-20,2024-12-29,540.0,,CRM
ACCT-035,TrueNorth Electronics,Technology,Enterprise,8170.38,16499,Korea,OPP-42087,Grace Adeyemi,Amanda Foster,West,NovaPulse Professional,NovaPulse,4821,Won,2023-12-10,2024-04-17,4327.0,,CRM
ACCT-013,GreenField Tech,Technology,Large,1520.66,1806,United States,OPP-31417,Raj Patel,Sarah Mitchell,Central,NovaPulse Enterprise,NovaPulse,5482,Won,2024-06-10,2024-09-24,5753.0,,CRM
ACCT-015,IronClad Entertainment,Media & Entertainment,Medium,217.87,551,United States,OPP-70589,Derek Johnson,Sarah Mitchell,Central,NovaEdge Lite,NovaEdge,55,Won,2023-10-07,2023-12-09,56.0,,CRM
ACCT-079,OpticWave Retail,Retail,Large,2261.05,3851,United States,OPP-59735,Andre Moreau,Michael Chen,East,NovaPulse Standard,NovaPulse,1096,Won,2024-05-19,2024-05-21,1167.0,,CRM
ACCT-084,TangleRoot Medical,Healthcare,Large,441.08,1210,United States,OPP-45382,Sofia Martinez,Sarah Mitchell,Central,NovaPulse Starter,NovaPulse,550,Won,2024-08-13,2024-09-03,552.0,,CRM
ACCT-027,RiverStone Imports,Retail,Large,894.33,1635,Italy,OPP-93886,Tyler Brooks,David Kim,Central,NovaEdge Advanced,NovaEdge,3393,Won,2025-01-17,2025-01-29,3494.0,,CRM
ACCT-006,CrestLine Retail,Retail,Large,497.11,1588,United States,OPP-83000,Yuki Nakamura,Amanda Foster,West,NovaPulse Standard,NovaPulse,1096,Won,2023-08-12,2023-12-16,1043.0,,CRM
ACCT-038,WestBridge Medical,Healthcare,Large,3178.24,4540,United States,OPP-38785,Sofia Martinez,Sarah Mitchell,Central,NovaPulse Enterprise,NovaPulse,5482,Won,2023-08-20,2024-01-04,6282.0,,CRM
ACCT-022,NorthStar Finance,Financial Services,Large,1102.43,1759,United States,OPP-99733,Leila Hassan,David Kim,Central,NovaEdge Advanced,NovaEdge,3393,Won,2023-12-09,2024-03-15,3423.0,,CRM
ACCT-041,YieldMax Software,Software,Enterprise,11698.03,34288,United States,OPP-52504,Finn O'Brien,Michael Chen,East,NovaPulse Professional,NovaPulse,4821,Won,2024-04-12,2024-04-26,4612.0,,CRM
ACCT-022,NorthStar Finance,Financial Services,Large,1102.43,1759,United States,OPP-17331,Sofia Martinez,Sarah Mitchell,Central,NovaEdge Lite,NovaEdge,55,Won,2023-10-25,2024-01-11,54.0,,CRM
ACCT-022,NorthStar Finance,Financial Services,Large,1102.43,1759,United States,OPP-40021,Priya Nair,David Kim,Central,NovaEdge Advanced,NovaEdge,3393,Won,2024-04-05,2024-04-11,3236.0,,CRM
ACCT-059,QuantumShift Tech,Technology,Large,1008.06,1238,United States,OPP-14207,Sofia Martinez,Sarah Mitchell,Central,NovaEdge Lite,NovaEdge,55,Won,2024-12-13,2025-01-03,66.0,,CRM
ACCT-072,HavenCrest Communications,Telecommunications,Enterprise,5266.09,8595,United States,OPP-51347,Sofia Martinez,Sarah Mitchell,Central,NovaEdge Lite,NovaEdge,55,Won,2024-07-30,2024-08-24,54.0,,CRM
ACCT-054,LightWave Studios,Media & Entertainment,Medium,349.81,315,United States,OPP-62581,Mei Lin Zhang,Brian Nakamura,West,NovaPulse Enterprise,NovaPulse,5482,Won,2024-09-16,2024-09-28,5527.0,,CRM
ACCT-031,SummitEdge Marketing,Marketing & Advertising,Enterprise,2952.73,5107,United States,OPP-45093,Fatima Al-Rashid,Amanda Foster,West,NovaPulse Starter,NovaPulse,550,Won,2024-03-28,2024-07-09,647.0,,CRM
ACCT-024,PeakVista Capital,Financial Services,Enterprise,2819.5,7227,United States,OPP-18675,Marcus Webb,David Kim,Central,NovaPulse Standard,NovaPulse,1096,Won,2024-05-07,2024-05-13,1033.0,,CRM
ACCT-005,CoralBay Pharma,Healthcare,Large,326.82,1016,United States,OPP-37653,Victor Tang,Michael Chen,East,NovaPulse Starter,NovaPulse,550,Won,2023-08-18,2023-12-23,639.0,,CRM
ACCT-021,MeridianComm,Telecommunications,Enterprise,1825.82,5595,United States,OPP-84341,Liam Porter,Amanda Foster,West,NovaEdge Advanced,NovaEdge,3393,Won,2023-11-14,2024-04-10,3281.0,,CRM
ACCT-002,BioVantage Labs,Healthcare,Medium,251.41,495,United States,OPP-51245,Hannah Lee,Rachel Torres,East,NovaPulse Professional,NovaPulse,4821,Won,2023-09-22,2023-12-30,3822.0,,CRM
ACCT-058,PrimeCell Medical,Healthcare,Enterprise,3922.42,6837,United States,OPP-37869,Marcus Webb,David Kim,Central,NovaPulse Starter,NovaPulse,550,Won,2024-05-16,2024-08-16,501.0,,CRM
ACCT-031,SummitEdge Marketing,Marketing & Advertising,Enterprise,2952.73,5107,United States,OPP-95909,Yuki Nakamura,Amanda Foster,West,NovaPulse Starter,NovaPulse,550,Won,2024-10-21,2024-10-23,553.0,,CRM
ACCT-024,PeakVista Capital,Financial Services,Enterprise,2819.5,7227,United States,OPP-75435,Anika Larsson,Sarah Mitchell,Central,NovaEdge Advanced,NovaEdge,3393,Won,2024-01-21,2024-04-24,3161.0,,CRM
ACCT-072,HavenCrest Communications,Telecommunications,Enterprise,5266.09,8595,United States,OPP-61856,Marcus Webb,David Kim,Central,NovaEdge Lite,NovaEdge,55,Won,2024-02-01,2024-02-15,54.0,,CRM
ACCT-026,QuartzPoint Trading,Retail,Large,2520.83,3502,United States,OPP-94259,Finn O'Brien,Michael Chen,East,NovaPulse Enterprise,NovaPulse,5482,Won,2024-06-11,2024-08-24,6205.0,,CRM
ACCT-011,Falcon Software,Software,Large,2714.9,2641,United States,OPP-70142,Raj Patel,Sarah Mitchell,Central,NovaEdge Lite,NovaEdge,55,Won,2024-03-11,2024-04-21,61.0,,CRM
ACCT-075,KestrelWing Services,Business Services,Enterprise,2041.73,5276,United States,OPP-28726,Tyler Brooks,David Kim,Central,NovaPulse Professional,NovaPulse,4821,Won,2023-11-22,2024-01-03,4375.0,,CRM
ACCT-004,ClearView Health,Healthcare,Large,587.34,1356,Philipines,OPP-44718,Owen McCarthy,David Kim,Central,NovaEdge Lite,NovaEdge,55,Won,2024-06-30,2024-07-01,53.0,,CRM
ACCT-028,SilverLine Tech,Technology,Large,1223.72,2497,Norway,OPP-28301,Marcus Webb,David Kim,Central,NovaPulse Starter,NovaPulse,550,Won,2024-02-15,2024-02-18,580.0,,CRM
ACCT-012,FreshStart Medical,Healthcare,Small,4.54,9,United States,OPP-42325,Mei Lin Zhang,Brian Nakamura,West,NovaPulse Starter,NovaPulse,550,Won,2023-08-13,2024-01-10,437.0,,CRM
ACCT-066,WillowBrook Staffing,Professional Services,Medium,291.27,586,United States,OPP-83579,Owen McCarthy,David Kim,Central,NovaPulse Standard,NovaPulse,1096,Won,2024-06-07,2024-06-24,1144.0,,CRM
ACCT-032,TerraBloom Services,Business Services,Large,692.19,1922,United States,OPP-80644,Grace Adeyemi,Amanda Foster,West,NovaEdge Advanced,NovaEdge,3393,Won,2024-09-20,2025-01-12,3772.0,,CRM
ACCT-036,UltraLink Communications,Telecommunications,Enterprise,6395.05,20275,United States,OPP-44438,Victor Tang,Michael Chen,East,NovaPulse Standard,NovaPulse,1096,Won,2024-04-22,2024-07-25,892.0,,CRM
ACCT-063,TideWater Retail,Retail,Enterprise,2214.94,5374,United States,OPP-86622,Oliver Dubois,Brian Nakamura,West,NovaPulse Standard,NovaPulse,1096,Won,2023-09-23,2023-12-12,1095.0,,CRM
ACCT-067,CrossPoint Retail,Retail,Large,1376.8,1165,Belgium,OPP-66155,Maya Chen,Sarah Mitchell,Central,NovaPulse Starter,NovaPulse,550,Won,2024-01-15,2024-05-05,460.0,,CRM
ACCT-029,SkyCrest Telecom,Telecommunications,Small,86.68,187,United States,OPP-86484,Derek Johnson,Sarah Mitchell,Central,NovaEdge Lite,NovaEdge,55,Won,2023-09-26,2024-01-11,54.0,,CRM
ACCT-065,VoltEdge Finance,Financial Services,Large,1698.2,3798,United States,OPP-62350,Sofia Martinez,Sarah Mitchell,Central,NovaEdge Lite,NovaEdge,55,Won,2023-07-25,2023-12-10,43.0,,CRM
ACCT-027,RiverStone Imports,Retail,Large,894.33,1635,Italy,OPP-57447,Anika Larsson,Sarah Mitchell,Central,NovaPulse Starter,NovaPulse,550,Won,2024-06-13,2024-06-27,563.0,,CRM
ACCT-058,PrimeCell Medical,Healthcare,Enterprise,3922.42,6837,United States,OPP-38746,Maya Chen,Sarah Mitchell,Central,NovaEdge Lite,NovaEdge,55,Won,2024-03-20,2024-04-10,58.0,,CRM
ACCT-064,UrbanLink Telecom,Telecommunications,Enterprise,1699.85,5108,United States,OPP-28131,Noah Kim,Amanda Foster,West,NovaEdge Advanced,NovaEdge,3393,Won,2023-11-04,2024-04-25,3426.0,,CRM
