account_id,lead_id,campaign_name,campaign_channel,campaign_date,funnel_stage,customer_segment,annual_income,household_size,days_since_last_engagement,product_spend_tier1,product_spend_tier2,product_spend_tier3,campaign_spend,revenue_attributed,web_visits_per_month,campaign_response,Mkt_Src_Cd,complaint_flag,data_source
ACCT-012,LEAD-10175,Digital Retarget,Email,2024-02-04,Prospect,Enterprise,32173.0,2,0,18,2,2,2548.25,0.0,4,0,ES,0,Marketing
ACCT-012,LEAD-01473,Enterprise Expansion,Organic Search,2024-01-25,Lead,Standard,47823.0,2,0,53,5,10,3876.52,0.0,8,0,CA,0,Marketing
ACCT-012,LEAD-02795,Digital Retarget,Organic Search,2024-01-01,Prospect,Growth,30523.0,4,0,5,3,5,878.35,0.0,7,0,CA,0,Marketing
ACCT-029,LEAD-02285,Digital Retarget,Organic Search,2023-11-25,Qualified Lead,Growth,36634.0,2,0,213,76,30,589.87,0.0,7,0,SA,0,Marketing
ACCT-074,LEAD-00115,NovaEdge Awareness,Partner Referral,2023-09-18,Qualified Lead,Growth,43456.0,2,0,275,68,7,6743.49,0.0,5,0,IN,0,Marketing
ACCT-015,LEAD-10470,NovaPulse Launch,Email,2023-09-06,Lead,Growth,40662.0,2,0,40,23,23,2193.37,0.0,4,0,DE,0,Marketing
ACCT-049,LEAD-04065,Enterprise Expansion,Partner Referral,2023-08-03,Qualified Lead,Enterprise,49544.0,2,0,308,73,23,14498.07,0.0,7,0,ES,0,Marketing
ACCT-012,LEAD-10968,NovaPulse Launch,Direct Mail,2023-05-07,Qualified Lead,Professional,57731.0,2,0,266,300,44,4078.25,0.0,6,0,IN,0,Marketing
ACCT-012,LEAD-05985,Enterprise Expansion,Organic Search,2023-03-23,Lead,Growth,33168.0,2,0,80,37,3,3002.55,0.0,7,0,ES,0,Marketing
ACCT-081,LEAD-05430,NovaPulse Launch,Paid Social,2023-02-20,Qualified Lead,Professional,54450.0,3,0,454,171,32,2759.96,0.0,8,0,ES,0,Marketing
ACCT-012,LEAD-08432,Q3 Growth Sprint,Paid Social,2023-02-20,Qualified Lead,Professional,54450.0,3,0,454,171,32,8906.14,0.0,8,0,ES,0,Marketing
ACCT-012,LEAD-00453,Enterprise Expansion,Email,2025-01-31,Prospect,Enterprise,35340.0,3,1,27,12,5,2068.11,0.0,5,0,ES,0,Marketing
ACCT-012,LEAD-09687,Enterprise Expansion,Partner Referral,2024-12-30,Qualified Lead,Professional,73170.0,1,1,184,256,32,4222.82,0.0,2,0,CA,0,Marketing
ACCT-080,LEAD-08890,Year-End Accelerator,Organic Search,2024-12-29,Qualified Lead,Enterprise,65808.0,3,1,155,80,10,3203.68,0.0,6,0,ES,0,Marketing
ACCT-012,LEAD-09264,NovaPulse Launch,Partner Referral,2024-11-23,Qualified Lead,Professional,79529.0,1,1,423,706,197,13203.52,0.0,2,0,CA,0,Marketing
ACCT-030,LEAD-05824,Year-End Accelerator,Organic Search,2024-11-05,Prospect,Enterprise,34578.0,4,1,7,1,0,2601.44,0.0,6,0,AU,0,Marketing
ACCT-109,LEAD-05794,NovaPulse Launch,Partner Referral,2024-10-09,Opportunity,Enterprise,46374.0,2,1,408,21,17,4452.66,1105.63,8,1,IN,0,Marketing
ACCT-030,LEAD-03068,Q3 Growth Sprint,Organic Search,2024-05-11,Prospect,Professional,18351.0,1,1,1,9,7,3239.22,0.0,7,0,ES,0,Marketing
ACCT-066,LEAD-07962,NovaPulse Launch,Email,2024-04-19,Closed Won,Enterprise,95169.0,1,1,1285,449,20,1368.01,3339.85,1,1,ES,0,Marketing
ACCT-009,LEAD-02681,Digital Retarget,Partner Referral,2024-02-04,Qualified Lead,Standard,65370.0,1,1,71,112,29,7446.85,0.0,1,0,ES,0,Marketing
ACCT-020,LEAD-10141,NovaEdge Awareness,Email,2023-11-06,Prospect,Growth,39228.0,1,1,7,6,3,1764.9,0.0,4,0,SA,0,Marketing
ACCT-081,LEAD-03725,NovaPulse Launch,Partner Referral,2023-11-05,Closed Won,Enterprise,84865.0,1,1,1248,349,16,7094.77,3889.91,4,1,ES,0,Marketing
ACCT-012,LEAD-03767,Digital Retarget,Partner Referral,2023-10-20,Qualified Lead,Professional,61314.0,2,1,378,189,172,12867.97,0.0,3,0,ES,0,Marketing
ACCT-012,LEAD-05585,Digital Retarget,Organic Search,2023-10-15,Prospect,Professional,21359.0,2,1,12,17,10,869.39,117.55,8,1,CA,0,Marketing
ACCT-068,LEAD-07030,NovaPulse Launch,Partner Referral,2023-09-22,Closed Won,Enterprise,66465.0,2,1,1200,204,14,10627.02,3381.82,6,1,ES,0,Marketing
ACCT-012,LEAD-01524,NovaPulse Launch,Paid Social,2023-08-21,Closed Won,Standard,81698.0,1,1,709,115,45,9073.09,1949.81,5,1,ES,0,Marketing
ACCT-066,LEAD-03657,Enterprise Expansion,Organic Search,2023-08-05,Lead,Professional,39146.0,2,1,94,33,12,3068.28,0.0,8,0,ES,0,Marketing
ACCT-012,LEAD-05740,Digital Retarget,Organic Search,2023-08-05,Lead,Standard,25959.0,3,1,4,12,26,3879.16,86.86,6,1,ES,0,Marketing
ACCT-012,LEAD-09595,Digital Retarget,Direct Mail,2023-06-29,Closed Won,Professional,64260.0,1,1,539,816,30,6753.29,2990.01,3,1,ES,0,Marketing
ACCT-012,LEAD-03158,Q3 Growth Sprint,Organic Search,2023-06-20,Prospect,Professional,32300.0,2,1,13,6,6,2192.24,0.0,8,0,ES,0,Marketing
ACCT-012,LEAD-05114,Q3 Growth Sprint,Email,2023-06-04,Qualified Lead,Growth,74806.0,2,1,670,249,9,1588.94,0.0,4,0,AU,0,Marketing
ACCT-012,LEAD-00340,Q3 Growth Sprint,Partner Referral,2023-05-31,Opportunity,Professional,72967.0,2,1,158,179,125,11772.31,769.81,5,1,DE,0,Marketing
ACCT-012,LEAD-08805,Enterprise Expansion,Paid Social,2023-05-17,Qualified Lead,Professional,48904.0,2,1,283,38,27,10517.13,0.0,8,0,US,0,Marketing
ACCT-012,LEAD-01241,Digital Retarget,Organic Search,2023-02-23,Lead,Standard,14796.0,2,1,13,8,16,3407.56,66.95,9,1,DE,0,Marketing
ACCT-012,LEAD-01402,Year-End Accelerator,Direct Mail,2023-02-16,Qualified Lead,Growth,66991.0,1,1,496,460,12,7230.6,0.0,3,0,DE,0,Marketing
ACCT-012,LEAD-07264,Year-End Accelerator,Organic Search,2024-12-09,Prospect,Standard,52195.0,4,2,12,4,1,1353.52,0.0,8,0,SA,0,Marketing
ACCT-080,LEAD-01619,Digital Retarget,Partner Referral,2024-11-24,Closed Won,Professional,90369.0,1,2,292,981,17,8576.5,3165.57,1,1,ES,0,Marketing
ACCT-027,LEAD-06398,Q3 Growth Sprint,Organic Search,2024-10-22,Prospect,Starter,18393.0,2,2,7,13,4,1826.46,0.0,8,0,ES,0,Marketing
ACCT-012,LEAD-01857,Digital Retarget,Organic Search,2024-09-27,Lead,Professional,47139.0,3,2,46,12,23,600.45,191.42,7,1,ES,0,Marketing
ACCT-068,LEAD-04877,Digital Retarget,Organic Search,2024-09-25,Prospect,Growth,38576.0,2,2,34,7,0,1136.44,0.0,7,0,IN,0,Marketing
ACCT-014,LEAD-03066,NovaPulse Launch,Email,2024-08-26,Qualified Lead,Enterprise,61905.0,2,2,167,43,13,1030.3,0.0,5,0,SA,0,Marketing
ACCT-012,LEAD-10286,Q3 Growth Sprint,Partner Referral,2024-08-25,Qualified Lead,Professional,83715.0,1,2,318,407,8,12573.99,0.0,0,0,SA,0,Marketing
ACCT-012,LEAD-01992,NovaPulse Launch,Partner Referral,2024-07-20,Closed Won,Professional,60597.0,2,2,522,257,66,7084.07,2093.56,7,1,ES,0,Marketing
ACCT-012,LEAD-04246,Year-End Accelerator,Organic Search,2024-06-28,Qualified Lead,Growth,6560.0,1,2,67,26,262,2954.14,0.0,17,0,ES,0,Marketing
ACCT-080,LEAD-10623,Enterprise Expansion,Email,2024-05-29,Prospect,Growth,48330.0,2,2,28,4,0,1190.67,0.0,5,0,ES,0,Marketing
ACCT-012,LEAD-04867,NovaEdge Awareness,Organic Search,2024-03-29,Lead,Enterprise,38236.0,3,2,58,18,10,535.53,0.0,7,0,ES,0,Marketing
ACCT-042,LEAD-03112,Year-End Accelerator,Email,2024-03-13,Prospect,Growth,22701.0,2,2,2,9,5,2870.16,0.0,5,0,ES,0,Marketing
ACCT-050,LEAD-04865,Digital Retarget,Partner Referral,2024-03-08,Opportunity,Growth,53367.0,3,2,229,140,11,4027.36,854.44,7,1,AU,0,Marketing
ACCT-030,LEAD-06287,Digital Retarget,Organic Search,2024-02-02,Prospect,Professional,34728.0,2,2,14,16,6,2210.02,78.68,6,1,ES,0,Marketing
ACCT-068,LEAD-04405,NovaEdge Awareness,Partner Referral,2024-02-02,Qualified Lead,Growth,63915.0,3,2,622,115,15,11287.31,0.0,5,0,AU,0,Marketing
ACCT-012,LEAD-05332,Year-End Accelerator,Partner Referral,2024-01-30,Qualified Lead,Standard,82504.0,1,2,362,431,54,10750.83,0.0,1,0,IN,0,Marketing
ACCT-071,LEAD-01519,Digital Retarget,Organic Search,2023-12-23,Lead,Enterprise,38578.0,3,2,38,22,3,2217.87,162.85,8,1,ES,0,Marketing
ACCT-014,LEAD-09080,Q3 Growth Sprint,Organic Search,2023-12-23,Lead,Enterprise,38578.0,3,2,38,22,3,825.69,0.0,8,0,ES,0,Marketing
ACCT-012,LEAD-01772,NovaPulse Launch,Partner Referral,2023-06-29,Closed Won,Enterprise,79174.0,1,2,1074,518,129,5659.16,4288.92,2,1,CA,0,Marketing
ACCT-061,LEAD-05341,Year-End Accelerator,Paid Social,2023-06-23,Closed Won,Standard,81975.0,2,2,983,184,27,5062.06,3106.16,7,1,SA,0,Marketing
ACCT-030,LEAD-05510,Q3 Growth Sprint,Partner Referral,2023-05-05,Qualified Lead,Growth,43263.0,2,2,262,61,102,8679.13,0.0,5,0,ES,0,Marketing
ACCT-061,LEAD-03887,Digital Retarget,Organic Search,2023-04-24,Opportunity,Professional,27242.0,2,2,3,26,39,2358.23,185.83,9,1,IN,0,Marketing
ACCT-081,LEAD-07022,Q3 Growth Sprint,Partner Referral,2023-03-07,Qualified Lead,Professional,76445.0,2,2,739,309,35,11951.23,0.0,6,0,SA,0,Marketing
ACCT-054,LEAD-09999,Enterprise Expansion,Partner Referral,2023-03-06,Qualified Lead,Professional,75276.0,1,2,610,125,21,6969.5,0.0,5,0,ES,0,Marketing
ACCT-012,LEAD-10352,Digital Retarget,Paid Social,2023-02-12,Opportunity,Professional,34213.0,3,2,50,28,26,9028.55,181.61,9,1,SA,0,Marketing
ACCT-068,LEAD-07919,Digital Retarget,Paid Social,2023-01-16,Closed Won,Enterprise,72335.0,1,2,1285,653,0,4514.04,2838.54,8,1,ES,0,Marketing
ACCT-012,LEAD-04114,Year-End Accelerator,Partner Referral,2023-01-14,Qualified Lead,Growth,79143.0,1,2,650,780,32,5311.01,0.0,3,0,AU,0,Marketing
ACCT-061,LEAD-07990,Year-End Accelerator,Organic Search,2023-01-04,Prospect,Professional,27469.0,1,2,9,2,0,918.44,0.0,6,0,CA,0,Marketing
ACCT-012,LEAD-09888,NovaPulse Launch,Partner Referral,2025-01-26,Qualified Lead,Professional,68695.0,1,3,458,356,40,9430.37,0.0,2,0,ES,0,Marketing
ACCT-104,LEAD-04399,NovaEdge Awareness,Partner Referral,2025-01-26,Qualified Lead,Professional,68695.0,1,3,458,356,40,12146.28,0.0,2,0,CA,0,Marketing
ACCT-029,LEAD-04452,NovaPulse Launch,Partner Referral,2024-12-27,Opportunity,Professional,50388.0,2,3,292,37,34,5221.8,551.04,7,1,DE,0,Marketing
ACCT-012,LEAD-04785,Enterprise Expansion,Partner Referral,2024-11-09,Qualified Lead,Enterprise,77622.0,3,3,520,154,14,8810.38,0.0,3,0,SA,0,Marketing
ACCT-069,LEAD-08461,NovaEdge Awareness,Organic Search,2024-10-02,Prospect,Professional,46102.0,4,3,14,1,1,3036.05,0.0,7,0,ES,0,Marketing
ACCT-012,LEAD-03878,Q3 Growth Sprint,Organic Search,2024-09-20,Prospect,Standard,31859.0,2,3,3,7,11,3918.12,0.0,7,0,ES,0,Marketing
ACCT-012,LEAD-09612,NovaPulse Launch,Organic Search,2024-08-29,Prospect,Standard,23830.0,1,3,1,6,16,2336.23,0.0,7,0,ES,0,Marketing
ACCT-012,LEAD-04098,NovaPulse Launch,Organic Search,2024-08-18,Prospect,Professional,24639.0,3,3,20,16,1,1490.5,0.0,6,0,AU,0,Marketing
ACCT-044,LEAD-00158,Q3 Growth Sprint,Paid Social,2024-06-01,Closed Won,Enterprise,71604.0,1,3,345,528,97,3005.26,1737.01,4,1,ES,0,Marketing
ACCT-012,LEAD-03896,Q3 Growth Sprint,Organic Search,2024-05-21,Prospect,Professional,27255.0,2,3,22,11,2,1296.19,0.0,7,0,ES,0,Marketing
ACCT-012,LEAD-09970,Year-End Accelerator,Partner Referral,2024-04-28,Lead,Professional,55375.0,2,3,42,57,14,5153.3,0.0,2,0,CA,0,Marketing
ACCT-012,LEAD-04002,NovaPulse Launch,Partner Referral,2024-04-24,Qualified Lead,Enterprise,77037.0,2,3,463,333,10,3169.78,0.0,3,0,ES,0,Marketing
ACCT-015,LEAD-10914,NovaPulse Launch,Email,2024-04-22,Prospect,Professional,24163.0,3,3,4,7,2,1835.34,0.0,4,0,ES,0,Marketing
ACCT-104,LEAD-07279,NovaEdge Awareness,Direct Mail,2024-04-09,Qualified Lead,Enterprise,69476.0,1,3,260,559,67,3283.02,0.0,2,0,US,0,Marketing
ACCT-012,LEAD-10582,Year-End Accelerator,Partner Referral,2024-01-03,Qualified Lead,Professional,72063.0,2,3,180,348,90,14691.54,0.0,2,0,DE,0,Marketing
ACCT-012,LEAD-04470,NovaPulse Launch,Email,2023-12-09,Lead,Growth,58646.0,2,3,62,44,22,1883.4,0.0,4,0,ES,0,Marketing
ACCT-106,LEAD-06183,Enterprise Expansion,Email,2023-12-09,Lead,Growth,58646.0,2,3,62,44,22,2243.54,0.0,4,0,DE,0,Marketing
ACCT-061,LEAD-06379,Digital Retarget,Organic Search,2023-11-26,Opportunity,Growth,47570.0,3,3,67,20,31,941.98,281.81,7,1,US,0,Marketing
ACCT-081,LEAD-08601,Enterprise Expansion,Paid Social,2023-10-25,Qualified Lead,Professional,80011.0,2,3,421,536,102,6908.79,0.0,4,0,AU,0,Marketing
ACCT-081,LEAD-04827,Digital Retarget,Partner Referral,2023-08-31,Opportunity,Enterprise,54998.0,2,3,154,202,8,13472.64,885.56,4,1,ES,0,Marketing
ACCT-012,LEAD-06715,NovaEdge Awareness,Partner Referral,2023-06-19,Qualified Lead,Enterprise,60200.0,2,3,502,132,26,8632.76,0.0,6,0,ES,0,Marketing
ACCT-012,LEAD-10676,Digital Retarget,Direct Mail,2023-04-14,Closed Won,Professional,63211.0,1,3,145,459,145,4363.05,1688.74,2,1,ES,0,Marketing
ACCT-081,LEAD-01041,Digital Retarget,Paid Social,2023-03-29,Opportunity,Enterprise,48432.0,2,3,322,50,42,2513.77,1027.51,8,1,SA,0,Marketing
ACCT-081,LEAD-00492,NovaPulse Launch,Paid Social,2023-03-29,Qualified Lead,Enterprise,48432.0,2,3,322,50,42,6777.29,0.0,8,0,CA,0,Marketing
ACCT-054,LEAD-11133,Digital Retarget,Paid Social,2023-03-29,Opportunity,Enterprise,48432.0,2,3,322,50,42,10221.16,729.67,8,1,IN,0,Marketing
ACCT-008,LEAD-04491,Enterprise Expansion,Partner Referral,2023-03-10,Closed Won,Growth,62845.0,3,3,1099,45,34,3888.99,2377.53,8,1,ES,0,Marketing
ACCT-027,LEAD-00873,Enterprise Expansion,Partner Referral,2023-03-10,Closed Won,Growth,62845.0,3,3,1099,45,34,3643.31,1642.08,8,1,ES,0,Marketing
ACCT-012,LEAD-01631,Digital Retarget,Paid Social,2023-02-08,Closed Won,Enterprise,65220.0,1,3,890,292,12,7628.4,2044.77,6,1,DE,0,Marketing
ACCT-002,LEAD-08278,Year-End Accelerator,Paid Social,2023-01-30,Qualified Lead,Enterprise,74214.0,1,3,863,547,33,11939.18,0.0,5,0,ES,0,Marketing
ACCT-003,LEAD-06815,NovaPulse Launch,Partner Referral,2024-12-21,Closed Won,Standard,96547.0,1,4,448,125,62,4421.42,1774.77,2,1,ES,0,Marketing
ACCT-012,LEAD-00254,Enterprise Expansion,Partner Referral,2024-12-15,Opportunity,Professional,53863.0,2,4,399,30,30,10275.81,1053.83,7,1,ES,0,Marketing
ACCT-014,LEAD-01349,Digital Retarget,Organic Search,2024-11-16,Lead,Professional,50447.0,3,4,85,24,27,1289.9,0.0,6,0,IN,0,Marketing
ACCT-110,LEAD-02534,Q3 Growth Sprint,Paid Social,2024-11-16,Lead,Professional,37716.0,2,4,97,41,41,7225.73,0.0,7,0,AU,0,Marketing
ACCT-012,LEAD-02130,Digital Retarget,Organic Search,2024-10-16,Opportunity,Professional,45203.0,3,4,35,67,24,2076.8,261.0,6,1,SA,0,Marketing
ACCT-012,LEAD-02296,Q3 Growth Sprint,Organic Search,2024-07-02,Prospect,Growth,37368.0,2,4,3,11,10,3510.58,74.61,6,1,ES,0,Marketing
ACCT-012,LEAD-03799,NovaEdge Awareness,Partner Referral,2024-06-10,Qualified Lead,Professional,67225.0,2,4,315,322,143,6664.56,0.0,5,0,US,0,Marketing
ACCT-055,LEAD-11084,Digital Retarget,Partner Referral,2024-05-28,Closed Won,Growth,65104.0,2,4,738,232,50,10452.33,2098.12,7,1,CA,0,Marketing
ACCT-080,LEAD-05172,NovaPulse Launch,Partner Referral,2024-05-28,Qualified Lead,Growth,65104.0,2,4,738,232,50,11881.07,0.0,7,0,ES,0,Marketing
ACCT-012,LEAD-09504,Digital Retarget,Partner Referral,2024-05-20,Closed Won,Growth,81698.0,1,4,179,520,47,14371.08,1481.89,1,1,ES,0,Marketing
ACCT-012,LEAD-00850,Year-End Accelerator,Partner Referral,2024-04-16,Qualified Lead,Professional,70566.0,2,4,381,215,21,5532.3,0.0,3,0,ES,0,Marketing
ACCT-012,LEAD-04477,NovaEdge Awareness,Partner Referral,2024-04-06,Qualified Lead,Professional,69096.0,2,4,247,159,109,10925.14,0.0,4,0,DE,0,Marketing
ACCT-012,LEAD-01945,NovaPulse Launch,Partner Referral,2024-03-27,Closed Won,Professional,71434.0,2,4,711,217,168,4884.69,1996.34,4,1,ES,0,Marketing
ACCT-012,LEAD-07685,Digital Retarget,Email,2024-03-18,Lead,Professional,33039.0,2,4,30,12,12,687.66,0.0,5,0,ES,0,Marketing
ACCT-030,LEAD-06310,Year-End Accelerator,Email,2024-03-18,Lead,Professional,33039.0,2,4,30,12,12,506.69,0.0,5,0,CA,0,Marketing
ACCT-017,LEAD-10832,Q3 Growth Sprint,Partner Referral,2024-01-20,Qualified Lead,Professional,46610.0,1,4,288,30,125,8406.04,0.0,6,0,ES,0,Marketing
ACCT-081,LEAD-03025,NovaEdge Awareness,Paid Social,2024-01-09,Qualified Lead,Professional,49967.0,2,4,212,69,3,7938.11,0.0,7,0,CA,0,Marketing
ACCT-012,LEAD-02404,Year-End Accelerator,Paid Social,2023-11-24,Qualified Lead,Professional,53359.0,3,4,173,30,41,4912.59,0.0,7,0,US,0,Marketing
ACCT-012,LEAD-08581,NovaEdge Awareness,Paid Social,2023-08-26,Qualified Lead,Growth,49505.0,3,4,604,100,28,4314.76,0.0,8,0,ES,0,Marketing
ACCT-080,LEAD-08755,NovaEdge Awareness,Partner Referral,2023-08-12,Qualified Lead,Growth,68657.0,1,4,482,471,22,11483.47,0.0,7,0,AU,0,Marketing
ACCT-012,LEAD-10177,NovaEdge Awareness,Partner Referral,2023-08-05,Qualified Lead,Professional,72071.0,2,4,531,300,150,11435.85,0.0,2,0,ES,0,Marketing
ACCT-012,LEAD-02429,Digital Retarget,Partner Referral,2023-08-05,Qualified Lead,Professional,72071.0,2,4,531,300,150,8448.38,0.0,2,0,CA,0,Marketing
ACCT-052,LEAD-08920,Year-End Accelerator,Partner Referral,2023-06-30,Qualified Lead,Growth,59235.0,2,4,448,469,91,11248.62,0.0,7,0,IN,0,Marketing
ACCT-012,LEAD-08430,NovaPulse Launch,Email,2023-06-10,Prospect,Professional,21994.0,2,4,9,6,3,2809.78,0.0,5,0,AU,0,Marketing
ACCT-056,LEAD-08619,Enterprise Expansion,Email,2023-06-10,Prospect,Professional,21994.0,2,4,9,6,3,2469.57,0.0,5,0,ES,0,Marketing
ACCT-012,LEAD-08996,Q3 Growth Sprint,Partner Referral,2023-05-02,Qualified Lead,Enterprise,,4,4,230,192,53,10500.7,0.0,9,0,DE,0,Marketing
ACCT-071,LEAD-07233,NovaPulse Launch,Partner Referral,2023-02-23,Closed Won,Professional,69209.0,1,4,496,849,128,10934.2,4301.34,4,1,CA,0,Marketing
ACCT-061,LEAD-06678,NovaPulse Launch,Organic Search,2024-10-21,Lead,Professional,31928.0,2,5,33,24,5,1987.99,0.0,7,0,IN,0,Marketing
ACCT-012,LEAD-00830,NovaPulse Launch,Direct Mail,2024-09-16,Closed Won,Enterprise,74004.0,1,5,784,560,48,5039.66,3385.51,3,1,IN,0,Marketing
ACCT-081,LEAD-06365,Digital Retarget,Organic Search,2024-03-10,Lead,Standard,30390.0,1,5,10,12,20,3679.44,0.0,6,0,IN,0,Marketing
ACCT-061,LEAD-06770,Q3 Growth Sprint,Organic Search,2024-02-25,Lead,Professional,21355.0,2,5,5,14,31,3393.21,87.91,6,1,US,0,Marketing
ACCT-012,LEAD-02261,Digital Retarget,Organic Search,2023-12-24,Prospect,Professional,26304.0,2,5,4,5,4,1080.73,0.0,7,0,DE,0,Marketing
ACCT-039,LEAD-01031,Year-End Accelerator,Partner Referral,2023-10-31,Closed Won,Standard,85710.0,1,5,600,350,33,6691.34,2308.41,2,1,IN,0,Marketing
ACCT-012,LEAD-10089,NovaPulse Launch,Partner Referral,2023-09-29,Closed Won,Professional,102692.0,1,5,168,444,148,9830.48,1751.62,2,1,SA,0,Marketing
ACCT-068,LEAD-09256,Year-End Accelerator,Partner Referral,2023-06-22,Qualified Lead,Professional,58350.0,2,5,493,206,80,4492.24,0.0,6,0,ES,0,Marketing
ACCT-012,LEAD-10641,Enterprise Expansion,Organic Search,2023-06-13,Lead,Professional,7500.0,3,5,6,4,25,2910.37,0.0,6,0,ES,0,Marketing
ACCT-029,LEAD-00624,Q3 Growth Sprint,Organic Search,2023-04-23,Prospect,Growth,18890.0,1,5,6,1,15,2949.07,84.89,6,1,SA,0,Marketing
ACCT-012,LEAD-04211,Digital Retarget,Organic Search,2023-04-10,Lead,Starter,20425.0,2,5,4,5,17,2251.65,0.0,7,0,CA,0,Marketing
ACCT-012,LEAD-01407,Enterprise Expansion,Organic Search,2023-04-10,Lead,Starter,20425.0,2,5,4,5,17,2228.28,0.0,7,0,DE,0,Marketing
ACCT-012,LEAD-10356,NovaPulse Launch,Organic Search,2023-02-28,Prospect,Enterprise,41437.0,3,5,29,2,1,781.55,0.0,7,0,ES,0,Marketing
ACCT-012,LEAD-09323,Q3 Growth Sprint,Paid Social,2023-02-12,Closed Won,Growth,49912.0,2,5,520,223,42,2398.61,1539.67,8,1,MX,0,Marketing
ACCT-030,LEAD-01146,Q3 Growth Sprint,Paid Social,2023-02-12,Closed Won,Growth,49912.0,2,5,520,223,42,5223.22,1333.27,8,1,AU,0,Marketing
ACCT-074,LEAD-06343,Enterprise Expansion,Direct Mail,2024-10-25,Closed Won,Professional,79823.0,2,6,835,380,43,2093.62,3719.84,2,1,AU,0,Marketing
ACCT-012,LEAD-08545,NovaPulse Launch,Partner Referral,2024-10-14,Closed Won,Professional,85683.0,1,6,1296,311,51,13031.5,3484.54,1,1,ES,0,Marketing
ACCT-068,LEAD-08275,NovaEdge Awareness,Organic Search,2024-08-31,Prospect,Enterprise,47025.0,3,6,16,3,1,3827.75,0.0,7,0,ES,0,Marketing
ACCT-012,LEAD-10673,Digital Retarget,Direct Mail,2024-06-01,Qualified Lead,Enterprise,68397.0,2,6,760,466,80,7997.22,0.0,3,0,SA,0,Marketing
ACCT-053,LEAD-08799,Enterprise Expansion,Organic Search,2024-04-02,Lead,Enterprise,38175.0,2,6,70,69,3,2852.99,0.0,7,0,ES,0,Marketing
ACCT-012,LEAD-00067,NovaEdge Awareness,Organic Search,2024-03-27,Lead,Growth,46423.0,3,6,68,16,8,1443.29,0.0,7,0,ES,0,Marketing
ACCT-012,LEAD-09923,Digital Retarget,Organic Search,2024-03-27,Lead,Growth,46423.0,3,6,68,16,8,640.81,0.0,7,0,ES,0,Marketing
